final data,,,,,,,
,,,,,,,
obs,time,pressure,temp,practical_salinity,Nitrate_Concentration,,file
0,3755353500,7.203000069,10.73950005,32.65953868,7.789999962,,102
10,3755362500,7.204999924,10.72439957,32.66037833,8.020000458,,
20,3755371500,7.361999989,10.74969959,32.66619526,8.090000153,,
30,3755380500,7.359000206,10.68980026,32.64736682,8.279999733,,
40,3755389500,7.328000069,10.70129967,32.62942779,7.849999905,,
50,3755398500,7.40199995,10.68620014,32.62134475,7.510000229,,
60,3755407500,7.436999798,10.62220001,32.60964508,7.440000057,,
70,3755416500,7.339000225,10.63949966,32.6389618,7.659999847,,
80,3755425500,7.211999893,10.68620014,32.6146427,7.869999886,,
90,3755434500,7.143000126,10.58049965,32.56589153,7.460000038,,
100,3755443500,7.517000198,10.57019997,32.56023158,7.25,,
110,3755452500,6.777999878,10.64000034,32.5873368,7.489999771,,
120,3755461500,6.927000046,10.6843996,32.6143795,7.570000172,,
0,3755808899,6.739999771,10.39659977,32.54577353,7.820000172,,108
10,3755817899,6.701000214,10.35140038,32.53583913,7.929999828,,
20,3755826899,7.123000145,10.36060047,32.54108326,7.78000021,,
30,3755835899,7.058000088,10.39900017,32.55342542,7.630000114,,
40,3755844899,7.245999813,10.43529987,32.52708736,7.019999981,,
50,3755853899,7.535999775,10.44620037,32.52533798,7.039999962,,
60,3755862899,7.256000042,10.42609978,32.52748504,7.449999809,,
70,3755871899,7.321000099,10.37549973,32.53157364,7.380000114,,
80,3755880899,6.788000107,10.45829964,32.52386747,7.260000229,,
90,3755889899,7.105000019,10.51109982,32.53005298,6.889999866,,
100,3755898899,6.921000004,10.43830013,32.53507376,7.09,,
110,3755907899,7.092000008,10.40629959,32.53322546,7.44,,
120,3755916899,7.198999882,10.42679977,32.53751484,7.43,,
0,3756327299,7.070000172,10.43519974,32.48563276,6.679999828,,113
10,3756336299,7.53000021,10.45059967,32.48261134,6.269999981,,
20,3756345299,7.274000168,10.46360016,32.48093944,6.49,,
30,3756354299,7.268000126,10.45069981,32.47842478,6.45,,
40,3756363299,7.500999928,10.42879963,32.46869767,6.35,,
50,3756372299,7.232999802,10.40639973,32.47587195,6.42,,
60,3756381299,7.425000191,10.39840031,32.47661016,6.7,,
70,3756390299,7.249000072,10.42860031,32.473797,6.19,,
80,3756399299,7.356999874,10.37510014,32.42968671,6.34,,
90,3756408299,7.309000015,10.3743,32.39096767,6.58,,
100,3756417299,7.327000141,10.36439991,32.38954286,6.39,,
110,3756426299,7.001999855,10.43389988,32.4262576,6.42,,
120,3756435299,7.118999958,10.49199963,32.46879285,6.53,,
0,3756845699,7.22300005,10.5010004,32.50858329,6.73,,119
10,3756854699,7.394999981,10.50290012,32.49459505,6.37,,
20,3756863699,7.414000034,10.51570034,32.48807446,6.49,,
30,3756872699,6.962999821,10.51350021,32.48742841,6.93,,
40,3756881699,7.534999847,10.4989996,32.4939132,6.49,,
50,3756890699,7.197999954,10.49479961,32.49970891,6.16,,
60,3756899699,7.464000225,10.41100025,32.50256789,7.02,,
70,3756908699,7.348999977,10.36839962,32.47654311,7.12,,
80,3756917699,7.412000179,10.23180008,32.40607488,6.97,,
90,3756926699,7.52699995,10.23639965,32.3986913,7.14,,
100,3756935699,7.563000202,10.22749996,32.40118655,6.92,,
110,3756944699,7.538000107,10.21539974,32.39377613,7.03,,
120,3756953699,6.645999908,10.20250034,32.3866386,7.05,,
0,3757364098,7.138000011,10.36100006,32.44949729,7.02,,126
10,3757373098,7.458000183,10.35639954,32.44884669,7.02,,
20,3757382098,7.527999878,10.44589996,32.46425292,6.18,,
30,3757391098,7.56099987,10.44449997,32.46458541,6.51,,
40,3757400098,7.452000141,10.32890034,32.4429651,7,,
50,3757409098,7.578000069,10.31330013,32.43432725,7.25,,
60,3757418098,7.302000046,10.31840038,32.43733119,6.92,,
70,3757427098,7.19299984,10.34659958,32.45259076,7.02,,
80,3757436098,7.361999989,10.42300034,32.46239894,6.87,,
90,3757445098,7.487999916,10.40250015,32.46057931,6.6,,
100,3757454098,7.346000195,10.35569954,32.43676361,6.9,,
110,3757463098,7.464000225,10.33080006,32.43684207,6.82,,
120,3757472098,7.323999882,10.37720013,32.46065801,6.74,,
0,3757709698,7.096000195,10.21630001,32.43084885,7.07,,131
10,3757718698,7.258999825,10.21510029,32.43155166,7.14,,
20,3757727698,7.166999817,10.22039986,32.43611935,7.29,,
30,3757736698,7.142000198,10.61740017,32.53545442,6.13,,
40,3757745698,7.169000149,10.66950035,32.55206537,6.44,,
50,3757754698,6.946000099,10.63269997,32.5465561,5.91,,
60,3757763698,7.017000198,10.0710001,32.2761929,6.74,,
70,3757772698,7.03399992,10.12880039,32.36709861,7.25,,
80,3757781698,7.339000225,10.07649994,32.31692805,7.17,,
90,3757790698,7.211999893,9.924799919,32.06614873,7.19,,
100,3757799698,7.244999886,10.02690029,32.2192678,6.82,,
110,3757808698,7.230000019,10.10149956,32.3499112,6.99,,
120,3757817698,7.111000061,10.08740044,32.33336402,7.13,,
