obs,time,average_wave_height,max_wave_height,mean_wave_period,met_relwind_speed
0,3758032395,1.480000019,3.630000114,7.400000095,5.968156362
10,3758068393,1.74000001,4.75,7.5,4.442851554
20,3758104393,1.809999943,5.309999943,8.300000191,6.116806823
30,3758143993,2.019999981,5.590000153,8.199999809,7.201345148
40,3758179995,1.879999995,4.420000076,7.300000191,6.611289618
50,3758215994,2.059999943,4.920000076,7.300000191,3.068362225
60,3758255597,2.339999914,5.420000076,8.5,2.384386943
70,3758291587,2.269999981,5.210000038,8.5,7.337751394
80,3758331185,1.789999962,4,8,4.510822568
90,3758367193,1.74000001,4.230000019,8.800000191,2.418341334
100,3758406794,1.720000029,3.970000029,8.600000381,3.402207227
110,3758442795,1.649999976,3.720000029,7.900000095,4.345510884
120,3758478794,1.5,3.650000095,7.5,3.907698173
130,3758518385,1.179999948,3.49000001,7.300000191,4.398721774
140,3758554384,1.120000005,2.74000001,7.300000191,5.080918563
150,3758593993,1.289999962,3.109999895,10.60000038,3.14910642
160,3758629995,1.350000024,3.720000029,10.19999981,3.735692092
170,3758669594,1.610000014,4.210000038,6.5,6.125927717
180,3758705596,1.980000019,5.139999866,6.599999905,8.967215393
190,3758741597,2.319999933,4.670000076,6.800000191,12.83839301
200,3758781194,1.620000005,3.859999895,7.5,5.291324754
210,3758817199,1.309999943,3.480000019,7.300000191,8.115729478
220,3758856794,2.50999999,6.659999847,6.900000095,9.367837476
230,3758892795,1.889999986,5.150000095,7.800000191,6.005553977
240,3758932394,1.840000033,4.96999979,6.300000191,7.258599452
250,3758968394,1.799999952,4.880000114,6.599999905,8.060505166
260,3759007995,2.769999981,6.75,8.899999619,4.151016205
270,3759043994,2.190000057,5.610000134,7.900000095,6.734307565
280,3759079995,2,5.190000057,8.399999619,2.078606653
290,3759119594,1.950000048,5.840000153,7.199999809,8.561900183
300,3759155595,1.639999986,4.699999809,7.300000191,8.362475709
310,3759195196,1.519999981,3.900000095,7.099999905,6.653533044
320,3759231196,2.839999914,8.779999733,10.80000019,4.791699573
330,3759270795,2.660000086,6.71999979,9.300000191,4.41818744
340,3759306800,2.450000048,5.800000191,8.5,6.363030397
350,3759342795,2.24000001,6.71999979,7.800000191,4.012313059
360,3759382394,2.099999905,4.789999962,7.300000191,3.963272757
370,3759418396,1.679999948,4.820000172,8,3.348644819
